Qubit Map of the M-scheme states 
No. of Qubits = 12 
Qubit	n	l	j	  jz 
	0	1	1	3/2	  -3/2 
	1	1	1	3/2	  3/2 
	2	1	1	3/2	  -1/2 
	3	1	1	3/2	  1/2 
	4	0	3	5/2	  -5/2 
	5	0	3	5/2	  5/2 
	6	0	3	5/2	  -3/2 
	7	0	3	5/2	  3/2 
	8	0	3	5/2	  -1/2 
	9	0	3	5/2	  1/2 
	10	1	1	1/2	  -1/2 
	11	1	1	1/2	  1/2 

________________________________________________
Qubit mapped matrix elements of V All M 
   1	5	1	5		-0.284200 
   1	5	5	7		-0.390400 
   5	7	1	5		-0.390400 
   5	7	5	7		0.252000 
   1	7	1	7		-0.048363 
   1	7	3	5		-0.304465 
   1	7	5	9		-0.308638 
   1	7	5	11		0.126516 
   3	5	1	7		-0.304465 
   3	5	3	5		0.108862 
   3	5	5	9		-0.239070 
   3	5	5	11		-0.163332 
   5	9	1	7		-0.308638 
   5	9	3	5		-0.239070 
   5	9	5	9		0.252000 
   5	11	1	7		0.126516 
   5	11	3	5		-0.163332 
   5	11	5	11		0.405100 
   1	3	1	3		0.245900 
   1	3	1	9		-0.133648 
   1	3	1	11		-0.593200 
   1	3	3	7		0.218247 
   1	3	2	5		-0.244007 
   1	3	5	8		-0.235998 
   1	3	5	10		-0.211056 
   1	3	7	9		0.316624 
   1	3	7	11		0.094387 
   1	9	1	3		-0.133648 
   1	9	1	9		0.111536 
   1	9	1	11		-0.138297 
   1	9	3	7		-0.261113 
   1	9	2	5		-0.138646 
   1	9	5	8		-0.327310 
   1	9	5	10		-0.043076 
   1	9	7	9		0.048733 
   1	9	7	11		0.179296 
   1	11	1	3		-0.593200 
   1	11	1	9		-0.138297 
   1	11	1	11		-0.213700 
   1	11	3	7		0.225838 
   1	11	2	5		-0.252495 
   1	11	5	8		-0.238568 
   1	11	5	10		-0.222741 
   1	11	7	9		0.320072 
   1	11	7	11		0.099613 
   3	7	1	3		0.218247 
   3	7	1	9		-0.261113 
   3	7	1	11		0.225838 
   3	7	3	7		-0.015030 
   3	7	2	5		-0.125159 
   3	7	5	8		-0.000082 
   3	7	5	10		0.143387 
   3	7	7	9		-0.478030 
   3	7	7	11		-0.129457 
   2	5	1	3		-0.244007 
   2	5	1	9		-0.138646 
   2	5	1	11		-0.252495 
   2	5	3	7		-0.125159 
   2	5	2	5		0.248794 
   2	5	5	8		-0.358514 
   2	5	5	10		-0.241977 
   2	5	7	9		0.267165 
   2	5	7	11		-0.037873 
   5	8	1	3		-0.235998 
   5	8	1	9		-0.327310 
   5	8	1	11		-0.238568 
   5	8	3	7		-0.000082 
   5	8	2	5		-0.358514 
   5	8	5	8		0.142321 
   5	8	5	10		-0.207089 
   5	8	7	9		0.147149 
   5	8	7	11		0.092613 
   5	10	1	3		-0.211056 
   5	10	1	9		-0.043076 
   5	10	1	11		-0.222741 
   5	10	3	7		0.143387 
   5	10	2	5		-0.241977 
   5	10	5	8		-0.207089 
   5	10	5	10		-0.274150 
   5	10	7	9		0.277839 
   5	10	7	11		0.303770 
   7	9	1	3		0.316624 
   7	9	1	9		0.048733 
   7	9	1	11		0.320072 
   7	9	3	7		-0.478030 
   7	9	2	5		0.267165 
   7	9	5	8		0.147149 
   7	9	5	10		0.277839 
   7	9	7	9		0.054579 
   7	9	7	11		-0.124253 
   7	11	1	3		0.094387 
   7	11	1	9		0.179296 
   7	11	1	11		0.099613 
   7	11	3	7		-0.129457 
   7	11	2	5		-0.037873 
   7	11	5	8		0.092613 
   7	11	5	10		0.303770 
   7	11	7	9		-0.124253 
   7	11	7	11		0.269250 
   1	2	1	2		0.245900 
   1	2	1	8		-0.200472 
   1	2	1	10		-0.296600 
