Qubit Map of the M-scheme states 
No. of Qubits = 12 
Qubit	n	l	j	  jz 
	0	1	1	3/2	  -3/2 
	1	1	1	3/2	  3/2 
	2	1	1	3/2	  -1/2 
	3	1	1	3/2	  1/2 
	4	0	3	5/2	  -5/2 
	5	0	3	5/2	  5/2 
	6	0	3	5/2	  -3/2 
	7	0	3	5/2	  3/2 
	8	0	3	5/2	  -1/2 
	9	0	3	5/2	  1/2 
	10	1	1	1/2	  -1/2 
	11	1	1	1/2	  1/2 

________________________________________________
Qubit mapped matrix elements of V All M 
   1	5	1	5		-18.820900 
   5	7	5	7		-17.165400 
   1	7	1	7		-18.585062 
   3	5	3	5		-18.427837 
   5	9	5	9		-17.165400 
   5	11	5	11		-16.142400 
   1	3	1	3		-19.410100 
   1	9	1	9		-18.425164 
   1	11	1	11		-17.880500 
   3	7	3	7		-18.551730 
   2	5	2	5		-18.287906 
   5	8	5	8		-17.275079 
   5	10	5	10		-16.821650 
   7	9	7	9		-17.362821 
   7	11	7	11		-16.278250 
   1	2	1	2		-19.410100 
   1	8	1	8		-18.320822 
   1	10	1	10		-17.333975 
   3	9	3	9		-18.538533 
   3	11	3	11		-17.698325 
   2	7	2	7		-18.345472 
   0	5	0	5		-18.197273 
   5	6	5	6		-17.384757 
   7	8	7	8		-17.253143 
   7	10	7	10		-16.685800 
   9	11	9	11		-16.414100 
   1	0	1	0		-19.857650 
   1	0	3	2		0.447550 
   1	0	5	4		-0.558527 
   1	0	7	6		0.300005 
   1	0	9	8		-0.170743 
   1	0	11	10		-0.859347 
   1	6	1	6		-18.251653 
   3	2	1	0		0.447550 
   3	2	3	2		-19.857650 
   3	2	5	4		0.127656 
   3	2	7	6		-0.386179 
   3	2	9	8		0.515440 
   3	2	11	10		0.859347 
   3	8	3	8		-18.449397 
   3	10	3	10		-17.516150 
   2	9	2	9		-18.449397 
   2	11	2	11		-17.516150 
   0	7	0	7		-18.251653 
   5	4	1	0		-0.558527 
   5	4	3	2		0.127656 
   5	4	5	4		-17.827164 
   5	4	7	6		0.442407 
   5	4	9	8		-0.332729 
   5	4	11	10		-0.340059 
   7	6	1	0		0.300005 
   7	6	3	2		-0.386179 
   7	6	5	4		0.442407 
   7	6	7	6		-17.651679 
   7	6	9	8		0.508214 
   7	6	11	10		0.340059 
   9	8	1	0		-0.170743 
   9	8	3	2		0.515440 
   9	8	5	4		-0.332729 
   9	8	7	6		0.508214 
   9	8	9	8		-17.761357 
   9	8	11	10		-0.340059 
   9	10	9	10		-16.549950 
   8	11	8	11		-16.549950 
   11	10	1	0		-0.859347 
   11	10	3	2		0.859347 
   11	10	5	4		-0.340059 
   11	10	7	6		0.340059 
   11	10	9	8		-0.340059 
   11	10	11	10		-15.646700 
   1	4	1	4		-18.197273 
   3	0	3	0		-19.410100 
   3	6	3	6		-18.345472 
   2	8	2	8		-18.538533 
   2	10	2	10		-17.698325 
   0	9	0	9		-18.320822 
   0	11	0	11		-17.333975 
   7	4	7	4		-17.384757 
   9	6	9	6		-17.253143 
   8	10	8	10		-16.414100 
   6	11	6	11		-16.685800 
   3	4	3	4		-18.287906 
   2	0	2	0		-19.410100 
   2	6	2	6		-18.551730 
   0	8	0	8		-18.425164 
   0	10	0	10		-17.880500 
   9	4	9	4		-17.275079 
   8	6	8	6		-17.362821 
   6	10	6	10		-16.278250 
   4	11	4	11		-16.821650 
   2	4	2	4		-18.427837 
   0	6	0	6		-18.585062 
   8	4	8	4		-17.165400 
   4	10	4	10		-16.142400 
   0	4	0	4		-18.820900 
   6	4	6	4		-17.165400 
End V and Total Matrix Elements = 96
________________________________________________
Qubit mapped matrix elements of KE all M 
   1	5	1	5		-18.536700 
   5	7	5	7		-17.417400 
